mdp_seed,epsilon,sarsop_gap,solver_stop_reason,solver_elapsed_seconds,target_precision,acceptance_threshold
357994901,0.02,0.027526365047990886,max_time,609.1475629806519,0.01,0.5
357994901,0.03,0.028989016079843832,max_time,602.8028671741486,0.01,0.5
357994901,0.04,0.03220693035380151,max_time,606.1896579265594,0.01,0.5
357994901,0.05,0.036247615738059125,max_time,602.4079141616821,0.01,0.5
357994901,0.06,0.03672067835674575,max_time,610.1321840286255,0.01,0.5
357994901,0.07,0.0395276107653757,max_time,609.1279549598694,0.01,0.5
357994901,0.08,0.053515315699902644,max_time,601.8329780101776,0.01,0.5
357994901,0.09,0.05638894623931989,max_time,600.3218898773193,0.01,0.5
357994901,0.1,0.04860107859283014,max_time,600.2267458438873,0.01,0.5
2139434973,0.01,0.010869362540924854,precision,167.43059396743774,0.01,0.5
2139434973,0.02,0.011049057156505615,precision,354.7279272079468,0.01,0.5
2139434973,0.03,0.011053384238715047,precision,410.84122800827026,0.01,0.5
2139434973,0.04,0.011047361772265507,precision,558.9997179508209,0.01,0.5
2139434973,0.05,0.02177364556130712,max_time,603.8403129577637,0.01,0.5
2139434973,0.06,0.016095945026099567,max_time,602.6657989025116,0.01,0.5
2139434973,0.07,0.02644376888708866,max_time,601.7064301967621,0.01,0.5
2139434973,0.08,0.02669390630683699,max_time,600.9971289634705,0.01,0.5
2139434973,0.09,0.02715378630180343,max_time,600.2018780708313,0.01,0.5
2139434973,0.1,0.024511338541304717,max_time,603.56463098526,0.01,0.5
78811714,0.01,0.0105142921568806,precision,349.1893079280853,0.01,0.5
78811714,0.02,0.010907887683131001,precision,364.219486951828,0.01,0.5
78811714,0.03,0.01103209437914865,precision,375.3062250614166,0.01,0.5
78811714,0.04,0.010380223320751725,precision,398.58743715286255,0.01,0.5
78811714,0.05,0.011068964516136592,precision,364.8196098804474,0.01,0.5
78811714,0.06,0.010910200787937363,precision,397.3226728439331,0.01,0.5
78811714,0.07,0.016659869242159786,max_time,600.2003681659698,0.01,0.5
78811714,0.08,0.010914361543724826,precision,460.76216888427734,0.01,0.5
78811714,0.09,0.010526624607912982,precision,574.5769300460815,0.01,0.5
78811714,0.1,0.010926130013403146,precision,582.372043132782,0.01,0.5
1623325027,0.01,0.044612775022458084,max_time,606.6661989688873,0.01,0.5
1623325027,0.02,0.04639000748662947,max_time,600.5003509521484,0.01,0.5
1623325027,0.03,0.053273762549260084,max_time,601.9419658184052,0.01,0.5
1623325027,0.04,0.06165512995539335,max_time,603.2824330329895,0.01,0.5
1623325027,0.05,0.06384565250405494,max_time,607.193085193634,0.01,0.5
1623325027,0.06,0.06554008986946758,max_time,605.4572019577026,0.01,0.5
1623325027,0.07,0.06998752435343203,max_time,603.8990380764008,0.01,0.5
1623325027,0.08,0.07450641856209295,max_time,600.2176060676575,0.01,0.5
1623325027,0.09,0.08308767486275137,max_time,607.2176079750061,0.01,0.5
1623325027,0.1,0.08459222675159439,max_time,608.8836710453033,0.01,0.5
944034998,0.01,0.01054204743855669,precision,88.34098696708679,0.01,0.5
944034998,0.02,0.011078194043154355,precision,189.7105429172516,0.01,0.5
944034998,0.03,0.008938790250385242,precision,287.3128399848938,0.01,0.5
944034998,0.04,0.010186266120133514,precision,286.8260250091553,0.01,0.5
944034998,0.05,0.010699096208116377,precision,364.03910398483276,0.01,0.5
944034998,0.06,0.010768424773435203,precision,467.3748240470886,0.01,0.5
944034998,0.07,0.010931092131590603,precision,556.9301948547363,0.01,0.5
944034998,0.08,0.01609820412072871,max_time,600.1497490406036,0.01,0.5
944034998,0.09,0.017033139988761103,max_time,600.5496609210968,0.01,0.5
944034998,0.1,0.018964712075907553,max_time,600.297112941742,0.01,0.5
1755395082,0.01,0.010768851851841621,precision,101.01969480514526,0.01,0.5
1755395082,0.02,0.011037331604515366,precision,132.03603792190552,0.01,0.5
1755395082,0.03,0.009760715978371248,precision,328.19197487831116,0.01,0.5
1755395082,0.04,0.010095775897604575,precision,383.2944588661194,0.01,0.5
1755395082,0.05,0.010830185960721828,precision,498.909451007843,0.01,0.5
1755395082,0.06,0.01781621136057643,max_time,600.1430070400238,0.01,0.5
1755395082,0.07,0.026792509900277484,max_time,600.3809180259705,0.01,0.5
1755395082,0.08,0.032570003884023535,max_time,600.282881975174,0.01,0.5
1755395082,0.09,0.04399077453974942,max_time,601.9483518600464,0.01,0.5
1755395082,0.1,0.04878694948568052,max_time,601.6739568710327,0.01,0.5
1387219713,0.01,1.7047972900030572e-07,precision,0.0595090389251709,0.01,0.5
1387219713,0.02,1.7047972900030572e-07,precision,0.09906506538391113,0.01,0.5
1387219713,0.03,1.7047972900030572e-07,precision,0.09834814071655273,0.01,0.5
1387219713,0.04,1.7047972900030572e-07,precision,0.09839606285095215,0.01,0.5
1387219713,0.05,1.7047972900030572e-07,precision,0.10903787612915039,0.01,0.5
1387219713,0.06,1.7047972900030572e-07,precision,0.1127619743347168,0.01,0.5
1387219713,0.07,1.7047972900030572e-07,precision,0.11086702346801758,0.01,0.5
1387219713,0.08,1.7047972900030572e-07,precision,0.11316609382629395,0.01,0.5
1387219713,0.09,1.7047972900030572e-07,precision,0.11042499542236328,0.01,0.5
1387219713,0.1,1.7047972900030572e-07,precision,0.13694000244140625,0.01,0.5
2051696463,0.01,0.03259398034585548,max_time,600.9243049621582,0.01,0.5
2051696463,0.02,0.034370669004653465,max_time,600.7597651481628,0.01,0.5
2051696463,0.03,0.04169861909723993,max_time,602.1508028507233,0.01,0.5
2051696463,0.04,0.04756626406330833,max_time,606.8990092277527,0.01,0.5
2051696463,0.05,0.05741815621014501,max_time,604.8329818248749,0.01,0.5
2051696463,0.06,0.06198837489865161,max_time,601.926157951355,0.01,0.5
2051696463,0.07,0.06516284747343626,max_time,605.1610679626465,0.01,0.5
2051696463,0.08,0.06701030052853829,max_time,602.7533848285675,0.01,0.5
2051696463,0.09,0.07135837228160646,max_time,601.0638980865479,0.01,0.5
2051696463,0.1,0.07419339214119391,max_time,605.4002311229706,0.01,0.5
1285470842,0.01,1.6484568998720306e-07,precision,0.07677912712097168,0.01,0.5
1285470842,0.02,1.6484568998720306e-07,precision,0.10168600082397461,0.01,0.5
1285470842,0.03,1.6484568998720306e-07,precision,0.10427117347717285,0.01,0.5
1285470842,0.04,1.6484568998720306e-07,precision,0.10330009460449219,0.01,0.5
1285470842,0.05,1.6484568998720306e-07,precision,0.11897683143615723,0.01,0.5
1285470842,0.06,1.6484568998720306e-07,precision,0.1079409122467041,0.01,0.5
1285470842,0.07,1.6484568998720306e-07,precision,0.11485695838928223,0.01,0.5
1285470842,0.08,1.6484568998720306e-07,precision,0.1231839656829834,0.01,0.5
1285470842,0.09,1.6484568998720306e-07,precision,0.11177206039428711,0.01,0.5
1285470842,0.1,1.6484568998720306e-07,precision,0.1277461051940918,0.01,0.5
1898486705,0.01,0.00875001656792218,precision,3.115800142288208,0.01,0.5
1898486705,0.02,0.009763636342017712,precision,7.763249158859253,0.01,0.5
1898486705,0.03,0.01007464700600913,precision,5.052302122116089,0.01,0.5
1898486705,0.04,0.009198254855615318,precision,12.82300591468811,0.01,0.5
1898486705,0.05,0.009125698428406714,precision,14.36526608467102,0.01,0.5
